count,percent,class
25,0.001150864,10
15,0.000690518,11
19,0.000874657,12
36,0.001657244,13
49,0.002255693,14
81,0.003728799,15
108,0.004971732,16
105,0.004833629,17
125,0.00575432,18
138,0.006352769,19
172,0.007917944,20
239,0.01100226,21
280,0.012889677,22
375,0.01726296,23
497,0.022879176,24
682,0.03139557,25
918,0.042259726,26
1176,0.054136643,27
1490,0.068591494,28
1991,0.091654809,29
2596,0.119505718,30
3418,0.157346126,31
4233,0.194864292,32
5115,0.235466774,33
6337,0.291721007,34
7582,0.349034034,35
9069,0.417487425,36
10789,0.496666868,37
12373,0.569585611,38
14223,0.654749547,39
15804,0.727530186,40
17287,0.795799438,41
18964,0.872999396,42
20519,0.944583136,43
21981,1.011885663,44
23662,1.089269758,45
25180,1.15915022,46
27319,1.257618144,47
29325,1.349963472,48
31555,1.45262054,49
33641,1.548648632,50
36717,1.690250939,51
39574,1.821771677,52
42360,1.950023961,53
45758,2.106449396,54
49185,2.264209833,55
52610,2.421878201,56
55687,2.563526542,57
58338,2.68556416,58
60251,2.773628274,59
62826,2.892167266,60
64616,2.974569128,61
67132,3.090392081,62
70115,3.227713173,63
72859,3.354032006,64
76441,3.5189278,65
79165,3.644325941,66
88660,4.081424088,67
84215,3.876800469,68
86291,3.972368216,69
87442,4.025353994,70
89426,4.116686561,71
88101,4.055690769,72
87744,4.039256431,73
93095,4.285587362,74
96846,4.458262996,75
87334,4.020382262,76
