type,class,percent
Yellow Birch-Sugar Maple Forest,15,0.000122317
Yellow Birch-Sugar Maple Forest,16,0.000366951
Yellow Birch-Sugar Maple Forest,17,0.000366951
Yellow Birch-Sugar Maple Forest,18,0.000122317
Yellow Birch-Sugar Maple Forest,19,0.000733903
Yellow Birch-Sugar Maple Forest,20,0.000978537
Yellow Birch-Sugar Maple Forest,21,0.001100854
Yellow Birch-Sugar Maple Forest,22,0.002201708
Yellow Birch-Sugar Maple Forest,23,0.003057928
Yellow Birch-Sugar Maple Forest,24,0.003791831
Yellow Birch-Sugar Maple Forest,25,0.00721671
Yellow Birch-Sugar Maple Forest,26,0.009540736
Yellow Birch-Sugar Maple Forest,27,0.011008541
Yellow Birch-Sugar Maple Forest,28,0.017980618
Yellow Birch-Sugar Maple Forest,29,0.019081472
Yellow Birch-Sugar Maple Forest,30,0.025197328
Yellow Birch-Sugar Maple Forest,31,0.034126478
Yellow Birch-Sugar Maple Forest,32,0.040364652
Yellow Birch-Sugar Maple Forest,33,0.052474047
Yellow Birch-Sugar Maple Forest,34,0.063115637
Yellow Birch-Sugar Maple Forest,35,0.077671375
Yellow Birch-Sugar Maple Forest,36,0.094551139
Yellow Birch-Sugar Maple Forest,37,0.113387976
Yellow Birch-Sugar Maple Forest,38,0.138585305
Yellow Birch-Sugar Maple Forest,39,0.1549758
Yellow Birch-Sugar Maple Forest,40,0.183108739
Yellow Birch-Sugar Maple Forest,41,0.206348993
Yellow Birch-Sugar Maple Forest,42,0.229833881
Yellow Birch-Sugar Maple Forest,43,0.268853045
Yellow Birch-Sugar Maple Forest,44,0.298453789
Yellow Birch-Sugar Maple Forest,45,0.333436487
Yellow Birch-Sugar Maple Forest,46,0.372333334
Yellow Birch-Sugar Maple Forest,47,0.426152869
Yellow Birch-Sugar Maple Forest,48,0.473122646
Yellow Birch-Sugar Maple Forest,49,0.534403527
Yellow Birch-Sugar Maple Forest,50,0.596295993
Yellow Birch-Sugar Maple Forest,51,0.665282852
Yellow Birch-Sugar Maple Forest,52,0.755675209
Yellow Birch-Sugar Maple Forest,53,0.845822931
Yellow Birch-Sugar Maple Forest,54,0.945022121
Yellow Birch-Sugar Maple Forest,55,1.044955214
Yellow Birch-Sugar Maple Forest,56,1.169229414
Yellow Birch-Sugar Maple Forest,57,1.330198753
Yellow Birch-Sugar Maple Forest,58,1.488477115
Yellow Birch-Sugar Maple Forest,59,1.649446454
Yellow Birch-Sugar Maple Forest,60,1.875733138
Yellow Birch-Sugar Maple Forest,61,2.095781649
Yellow Birch-Sugar Maple Forest,62,2.371362136
Yellow Birch-Sugar Maple Forest,63,2.722534607
Yellow Birch-Sugar Maple Forest,64,3.097191966
Yellow Birch-Sugar Maple Forest,65,3.533007888
Yellow Birch-Sugar Maple Forest,66,3.957570635
Yellow Birch-Sugar Maple Forest,67,4.48524672
Yellow Birch-Sugar Maple Forest,68,5.026866957
Yellow Birch-Sugar Maple Forest,69,5.517480952
