evt,cover_percent,percent
Northern Hardwoods Forest,0,0
Northern Hardwoods Forest,1,0
Northern Hardwoods Forest,2,0
Northern Hardwoods Forest,3,0
Northern Hardwoods Forest,4,0
Northern Hardwoods Forest,5,0
Northern Hardwoods Forest,6,0
Northern Hardwoods Forest,7,0
Northern Hardwoods Forest,8,0
Northern Hardwoods Forest,9,0
Northern Hardwoods Forest,10,0
Northern Hardwoods Forest,11,0
Northern Hardwoods Forest,12,0
Northern Hardwoods Forest,13,0
Northern Hardwoods Forest,14,0
Northern Hardwoods Forest,15,0
Northern Hardwoods Forest,16,0
Northern Hardwoods Forest,17,0
Northern Hardwoods Forest,18,0
Northern Hardwoods Forest,19,0
Northern Hardwoods Forest,20,0
Northern Hardwoods Forest,21,0
Northern Hardwoods Forest,22,0
Northern Hardwoods Forest,23,0
Northern Hardwoods Forest,24,0
Northern Hardwoods Forest,25,0
Northern Hardwoods Forest,26,0
Northern Hardwoods Forest,27,0
Northern Hardwoods Forest,28,0
Northern Hardwoods Forest,29,0
Northern Hardwoods Forest,30,0
Northern Hardwoods Forest,31,0
Northern Hardwoods Forest,32,0
Northern Hardwoods Forest,33,0
Northern Hardwoods Forest,34,0
Northern Hardwoods Forest,35,0
Northern Hardwoods Forest,36,0
Northern Hardwoods Forest,37,0
Northern Hardwoods Forest,38,0
Northern Hardwoods Forest,39,0
Northern Hardwoods Forest,40,0
Northern Hardwoods Forest,41,0
Northern Hardwoods Forest,42,0
Northern Hardwoods Forest,43,0
Northern Hardwoods Forest,44,0
Northern Hardwoods Forest,45,0
Northern Hardwoods Forest,46,0
Northern Hardwoods Forest,47,0
Northern Hardwoods Forest,48,0
Northern Hardwoods Forest,49,0
Northern Hardwoods Forest,50,0
Northern Hardwoods Forest,51,0
Northern Hardwoods Forest,52,0
Northern Hardwoods Forest,53,0
Northern Hardwoods Forest,54,1
Northern Hardwoods Forest,55,1
Northern Hardwoods Forest,56,1
Northern Hardwoods Forest,57,1
Northern Hardwoods Forest,58,1
Northern Hardwoods Forest,59,1
Northern Hardwoods Forest,60,1
Northern Hardwoods Forest,61,1
Northern Hardwoods Forest,62,1
Northern Hardwoods Forest,63,1
Northern Hardwoods Forest,64,2
Northern Hardwoods Forest,65,2
Northern Hardwoods Forest,66,2
Northern Hardwoods Forest,67,2
Northern Hardwoods Forest,68,3
Northern Hardwoods Forest,69,3
Northern Hardwoods Forest,70,3
Northern Hardwoods Forest,71,4
Northern Hardwoods Forest,72,4
Northern Hardwoods Forest,73,4
Northern Hardwoods Forest,74,4
Northern Hardwoods Forest,75,4
Northern Hardwoods Forest,76,5
Northern Hardwoods Forest,77,5
Northern Hardwoods Forest,78,5
Northern Hardwoods Forest,79,5
Northern Hardwoods Forest,80,5
Northern Hardwoods Forest,81,5
Northern Hardwoods Forest,82,4
Northern Hardwoods Forest,83,4
Northern Hardwoods Forest,84,3
Northern Hardwoods Forest,85,10
Northern Hardwoods Forest,86,0
Northern Hardwoods Forest,87,0
Northern Hardwoods Forest,88,0
Northern Hardwoods Forest,89,0
Northern Hardwoods Forest,90,0
Northern Hardwoods Forest,91,0
Northern Hardwoods Forest,92,0
Northern Hardwoods Forest,93,0
Northern Hardwoods Forest,94,0
Northern Hardwoods Forest,95,0
Northern Hardwoods Forest,96,0
Northern Hardwoods Forest,97,0
Northern Hardwoods Forest,98,0
Northern Hardwoods Forest,99,0
Northern Hardwoods Forest,100,0
Alkaline Conifer-Hardwood Swamp,0,0
Alkaline Conifer-Hardwood Swamp,1,0
Alkaline Conifer-Hardwood Swamp,2,0
Alkaline Conifer-Hardwood Swamp,3,0
Alkaline Conifer-Hardwood Swamp,4,0
Alkaline Conifer-Hardwood Swamp,5,0
Alkaline Conifer-Hardwood Swamp,6,0
Alkaline Conifer-Hardwood Swamp,7,0
Alkaline Conifer-Hardwood Swamp,8,0
Alkaline Conifer-Hardwood Swamp,9,0
Alkaline Conifer-Hardwood Swamp,10,0
Alkaline Conifer-Hardwood Swamp,11,0
Alkaline Conifer-Hardwood Swamp,12,0
Alkaline Conifer-Hardwood Swamp,13,0
Alkaline Conifer-Hardwood Swamp,14,0
Alkaline Conifer-Hardwood Swamp,15,0
Alkaline Conifer-Hardwood Swamp,16,0
Alkaline Conifer-Hardwood Swamp,17,0
Alkaline Conifer-Hardwood Swamp,18,0
Alkaline Conifer-Hardwood Swamp,19,0
Alkaline Conifer-Hardwood Swamp,20,0
Alkaline Conifer-Hardwood Swamp,21,0
Alkaline Conifer-Hardwood Swamp,22,0
Alkaline Conifer-Hardwood Swamp,23,0
Alkaline Conifer-Hardwood Swamp,24,0
Alkaline Conifer-Hardwood Swamp,25,0
Alkaline Conifer-Hardwood Swamp,26,0
Alkaline Conifer-Hardwood Swamp,27,0
Alkaline Conifer-Hardwood Swamp,28,0
Alkaline Conifer-Hardwood Swamp,29,0
Alkaline Conifer-Hardwood Swamp,30,0
Alkaline Conifer-Hardwood Swamp,31,0
Alkaline Conifer-Hardwood Swamp,32,0
Alkaline Conifer-Hardwood Swamp,33,0
Alkaline Conifer-Hardwood Swamp,34,0
Alkaline Conifer-Hardwood Swamp,35,0
Alkaline Conifer-Hardwood Swamp,36,0
Alkaline Conifer-Hardwood Swamp,37,0
Alkaline Conifer-Hardwood Swamp,38,1
Alkaline Conifer-Hardwood Swamp,39,1
Alkaline Conifer-Hardwood Swamp,40,1
Alkaline Conifer-Hardwood Swamp,41,1
Alkaline Conifer-Hardwood Swamp,42,1
Alkaline Conifer-Hardwood Swamp,43,1
Alkaline Conifer-Hardwood Swamp,44,1
Alkaline Conifer-Hardwood Swamp,45,1
Alkaline Conifer-Hardwood Swamp,46,1
Alkaline Conifer-Hardwood Swamp,47,2
Alkaline Conifer-Hardwood Swamp,48,2
Alkaline Conifer-Hardwood Swamp,49,2
Alkaline Conifer-Hardwood Swamp,50,2
Alkaline Conifer-Hardwood Swamp,51,2
Alkaline Conifer-Hardwood Swamp,52,3
Alkaline Conifer-Hardwood Swamp,53,3
Alkaline Conifer-Hardwood Swamp,54,3
Alkaline Conifer-Hardwood Swamp,55,3
Alkaline Conifer-Hardwood Swamp,56,3
Alkaline Conifer-Hardwood Swamp,57,4
Alkaline Conifer-Hardwood Swamp,58,4
Alkaline Conifer-Hardwood Swamp,59,4
Alkaline Conifer-Hardwood Swamp,60,4
Alkaline Conifer-Hardwood Swamp,61,4
Alkaline Conifer-Hardwood Swamp,62,4
Alkaline Conifer-Hardwood Swamp,63,4
Alkaline Conifer-Hardwood Swamp,64,4
Alkaline Conifer-Hardwood Swamp,65,4
Alkaline Conifer-Hardwood Swamp,66,4
Alkaline Conifer-Hardwood Swamp,67,4
Alkaline Conifer-Hardwood Swamp,68,4
Alkaline Conifer-Hardwood Swamp,69,3
Alkaline Conifer-Hardwood Swamp,70,3
Alkaline Conifer-Hardwood Swamp,71,2
Alkaline Conifer-Hardwood Swamp,72,2
Alkaline Conifer-Hardwood Swamp,73,2
Alkaline Conifer-Hardwood Swamp,74,1
Alkaline Conifer-Hardwood Swamp,75,4
Alkaline Conifer-Hardwood Swamp,76,0
Alkaline Conifer-Hardwood Swamp,77,0
Alkaline Conifer-Hardwood Swamp,78,0
Alkaline Conifer-Hardwood Swamp,79,0
Alkaline Conifer-Hardwood Swamp,80,0
Alkaline Conifer-Hardwood Swamp,81,0
Alkaline Conifer-Hardwood Swamp,82,0
Alkaline Conifer-Hardwood Swamp,83,0
Alkaline Conifer-Hardwood Swamp,84,0
Alkaline Conifer-Hardwood Swamp,85,0
Alkaline Conifer-Hardwood Swamp,86,0
Alkaline Conifer-Hardwood Swamp,87,0
Alkaline Conifer-Hardwood Swamp,88,0
