VALUE,CLASSNAMES,RECLASS
64,NASS-Row Crop,Agriculture
65,NASS-Close Grown Crop,Agriculture
68,NASS-Wheat,Agriculture
13,Developed-Upland Deciduous Forest,Developed
14,Developed-Upland Evergreen Forest,Developed
15,Developed-Upland Mixed Forest,Developed
16,Developed-Upland Herbaceous,Developed
17,Developed-Upland Shrubland,Developed
22,Developed - Low Intensity,Developed
23,Developed - Medium Intensity,Developed
24,Developed - High Intensity,Developed
25,Developed-Roads,Developed
32,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Developed
12,Snow/Ice,Snow/Ice
100,Sparse Vegetation Canopy,Sparse/Barren
11,Open Water,Water
31,Barren,Sparse/Barren
101,Tree Height = 1 meter,Tree Height 0-5m
102,Tree Height = 2 meters,Tree Height 0-5m
103,Tree Height = 3 meters,Tree Height 0-5m
104,Tree Height = 4 meters,Tree Height 0-5m
105,Tree Height = 5 meters,Tree Height 0-5m
106,Tree Height = 6 meters,Tree Height 6-10m
107,Tree Height = 7 meters,Tree Height 6-10m
108,Tree Height = 8 meters,Tree Height 6-10m
109,Tree Height = 9 meters,Tree Height 6-10m
110,Tree Height = 10 meters,Tree Height 6-10m
111,Tree Height = 11 meters,Tree Height 11-25m
112,Tree Height = 12 meters,Tree Height 11-25m
113,Tree Height = 13 meters,Tree Height 11-25m
114,Tree Height = 14 meters,Tree Height 11-25m
115,Tree Height = 15 meters,Tree Height 11-25m
116,Tree Height = 16 meters,Tree Height 11-25m
117,Tree Height = 17 meters,Tree Height 11-25m
118,Tree Height = 18 meters,Tree Height 11-25m
119,Tree Height = 19 meters,Tree Height 11-25m
120,Tree Height = 20 meters,Tree Height 11-25m
121,Tree Height = 21 meters,Tree Height 11-25m
122,Tree Height = 22 meters,Tree Height 11-25m
123,Tree Height = 23 meters,Tree Height 11-25m
124,Tree Height = 24 meters,Tree Height 11-25m
125,Tree Height = 25 meters,Tree Height 11-25m
126,Tree Height = 26 meters,Tree Height 26-50m
127,Tree Height = 27 meters,Tree Height 26-50m
128,Tree Height = 28 meters,Tree Height 26-50m
129,Tree Height = 29 meters,Tree Height 26-50m
201,Shrub Height = 0.1 meter,Shrub Height 0.0-0.5m
202,Shrub Height = 0.2 meter,Shrub Height 0.0-0.5m
203,Shrub Height = 0.3 meter,Shrub Height 0.0-0.5m
204,Shrub Height = 0.4 meter,Shrub Height 0.0-0.5m
205,Shrub Height = 0.5 meter,Shrub Height 0.0-0.5m
206,Shrub Height = 0.6 meter,Shrub Height 0.6-1.0m
207,Shrub Height = 0.7 meter,Shrub Height 0.6-1.0m
208,Shrub Height = 0.8 meter,Shrub Height 0.6-1.0m
209,Shrub Height = 0.9 meter,Shrub Height 0.6-1.0m
210,Shrub Height = 1 meter,Shrub Height 0.6-1.0m
211,Shrub Height = 1.1 meters,Shrub Height 1.1-3.0m
212,Shrub Height = 1.2 meters,Shrub Height 1.1-3.0m
213,Shrub Height = 1.3 meters,Shrub Height 1.1-3.0m
214,Shrub Height = 1.4 meters,Shrub Height 1.1-3.0m
215,Shrub Height = 1.5 meters,Shrub Height 1.1-3.0m
216,Shrub Height = 1.6 meters,Shrub Height 1.1-3.0m
217,Shrub Height = 1.7 meters,Shrub Height 1.1-3.0m
218,Shrub Height = 1.8 meters,Shrub Height 1.1-3.0m
219,Shrub Height = 1.9 meters,Shrub Height 1.1-3.0m
301,Herb Height = 0.1 meter,Herb Height 0.0-0.5m
302,Herb Height = 0.2 meter,Herb Height 0.0-0.5m
303,Herb Height = 0.3 meter,Herb Height 0.0-0.5m
304,Herb Height = 0.4 meter,Herb Height 0.0-0.5m
305,Herb Height = 0.5 meter,Herb Height 0.0-0.5m
306,Herb Height = 0.6 meter,Herb Height 0.6-1.0m
307,Herb Height = 0.7 meter,Herb Height 0.6-1.0m
308,Herb Height = 0.8 meter,Herb Height 0.6-1.0m
